-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2018 
Location: Latitude  -6.96   Longitude -35.68 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 299.13 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
-6.95999,-35.67999,T2M_MAX,1993,   33.35,   34.71,   34.28,   32.58,   31.89,   29.97,   29.05,   30.84,   33.21,   33.66,   33.80,   34.22,   32.62
-6.95999,-35.67999,T2M_MAX,1994,   33.49,   33.27,   32.58,   29.56,   28.59,   27.58,   26.43,   27.72,   29.92,   32.44,   33.57,   32.80,   30.65
-6.95999,-35.67999,T2M_MAX,1995,   33.04,   32.63,   32.73,   29.32,   29.49,   27.87,   26.65,   28.36,   31.27,   33.62,   33.10,   34.76,   31.06
-6.95999,-35.67999,T2M_MAX,1996,   33.86,   34.30,   32.18,   29.59,   29.21,   27.86,   28.47,   29.26,   31.13,   33.05,   32.59,   34.11,   31.30
-6.95999,-35.67999,T2M_MAX,1997,   33.46,   32.34,   31.55,   29.56,   28.64,   29.33,   29.13,   30.08,   33.26,   34.46,   34.52,   34.24,   31.71
-6.95999,-35.67999,T2M_MAX,1998,   33.69,   34.64,   34.74,   34.84,   33.29,   30.92,   29.70,   29.64,   32.47,   33.93,   34.77,   34.65,   33.09
-6.95999,-35.67999,T2M_MAX,1999,   33.70,   33.95,   32.54,   32.91,   30.92,   30.51,   29.81,   30.79,   32.63,   33.64,   34.50,   33.17,   32.41
-6.95999,-35.67999,T2M_MAX,2000,   32.45,   31.38,   31.94,   29.56,   28.79,   27.73,   26.76,   27.12,   28.42,   30.74,   33.18,   32.48,   30.04
-6.95999,-35.67999,T2M_MAX,2001,   33.28,   34.47,   33.44,   31.07,   32.70,   29.82,   28.75,   29.42,   32.24,   33.86,   34.64,   33.47,   32.25
-6.95999,-35.67999,T2M_MAX,2002,   31.00,   32.07,   31.32,   31.53,   31.03,   28.24,   28.84,   29.83,   32.63,   33.43,   33.96,   34.58,   31.53
-6.95999,-35.67999,T2M_MAX,2003,   34.18,   32.24,   30.07,   29.94,   30.18,   28.63,   28.70,   30.65,   32.42,   33.79,   34.69,   34.40,   31.66
-6.95999,-35.67999,T2M_MAX,2004,   30.92,   28.81,   29.68,   30.08,   29.05,   27.91,   27.36,   29.44,   31.74,   33.83,   34.41,   34.51,   30.65
-6.95999,-35.67999,T2M_MAX,2005,   34.32,   34.55,   33.67,   32.66,   30.47,   27.18,   26.98,   27.70,   30.38,   32.82,   33.85,   33.57,   31.49
-6.95999,-35.67999,T2M_MAX,2006,   34.20,   34.18,   32.98,   29.63,   28.86,   28.33,   29.10,   29.75,   31.65,   33.61,   33.83,   34.27,   31.69
-6.95999,-35.67999,T2M_MAX,2007,   33.72,   33.34,   31.67,   31.22,   28.97,   27.28,   27.19,   27.89,   29.62,   32.61,   33.70,   33.73,   30.90
-6.95999,-35.67999,T2M_MAX,2008,   33.21,   34.36,   32.38,   29.32,   28.61,   27.36,   27.43,   28.84,   31.40,   33.28,   34.20,   34.20,   31.21
-6.95999,-35.67999,T2M_MAX,2009,   33.45,   30.99,   29.87,   28.79,   27.70,   27.15,   27.01,   27.41,   29.20,   32.39,   33.61,   33.32,   30.07
