Estacao,Dia,Mes,Ano,Hora,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,
82795,28,02,1963,0000,31.1,24.007368,19.305263,
82795,31,03,1963,0000,28.370968,23.17871,20.367742,
82795,30,04,1963,0000,27.696667,22.800667,19.97,
82795,31,05,1963,0000,27.022581,21.858065,18.751613,
82795,30,06,1963,0000,26.376667,21.052,17.903333,
82795,31,07,1963,0000,25.309677,19.983226,17.093548,
82795,31,08,1963,0000,26.451613,20.189677,16.616129,
82795,30,09,1963,0000,28.57,21.493333,17.433333,
82795,31,10,1963,0000,30.229032,22.701905,16.728571,
82795,30,11,1963,0000,30.403333,22.99,17.396667,
82795,31,12,1963,0000,29.277419,22.964516,17.851613,
82795,31,01,1964,0000,28.141935,23.30129,20.374194,
82795,29,02,1964,0000,28.56875,,20.482353,
82795,31,03,1964,0000,28.34375,23.2575,20.35,
82795,30,04,1964,0000,27.42,23.022667,20.064286,
82795,31,05,1964,0000,26.332258,22.078065,19.403226,
82795,30,06,1964,0000,25.026667,20.960667,18.543333,
82795,31,07,1964,0000,24.793548,20.427742,17.819355,
82795,31,08,1964,0000,24.951613,20.266667,17.629032,
82795,30,09,1964,0000,24.896667,20.148667,17.48,
82795,31,10,1964,0000,27.719355,21.444516,18.054839,
82795,31,12,1964,0000,30.229412,22.62625,17.40625,
82795,31,01,1965,0000,28.732258,22.14,17.422581,
82795,28,02,1965,0000,30.325,23.254286,18.435714,
82795,31,03,1965,0000,30.512903,23.645161,18.996774,
82795,30,04,1965,0000,28.176667,22.91,19.326667,
82795,31,05,1965,0000,26.464516,21.750968,18.454839,
82795,30,06,1965,0000,25.083333,20.731333,17.596667,
82795,31,07,1965,0000,25.845161,20.492903,16.767742,
82795,31,08,1965,0000,25.896774,20.403333,16.487097,
82795,30,09,1965,0000,25.80625,,16.69375,
82795,30,11,1965,0000,29.296429,22.746429,18.510714,
82795,31,12,1965,0000,29.303226,22.929032,18.470968,
82795,31,01,1966,0000,28,22.765,18.8,
82795,28,02,1966,0000,26.867857,22.295714,18.692857,
82795,31,03,1966,0000,28.396774,22.820645,18.974194,
82795,31,05,1966,0000,27.709677,22.728387,19.216129,
82795,30,06,1966,0000,25.02,21.231333,18.063333,
82795,31,07,1966,0000,24.080645,20.64069,17.264516,
82795,31,08,1966,0000,24.53871,20.08,16.109677,
82795,30,09,1966,0000,25.463333,20.707143,16.8,
82795,31,10,1966,0000,28.454839,22.270323,17.654839,
82795,30,11,1966,0000,27.98,22.48,18.493333,
82795,31,12,1966,0000,29.277419,23.287742,19.032258,
82795,31,01,1967,0000,30.354839,23.737419,18.206452,
82795,28,02,1967,0000,30.51,24.039,18.61,
82795,31,03,1967,0000,28.548387,23.269677,18.396774,
82795,30,04,1967,0000,27.23,22.757333,18.436667,
82795,31,05,1967,0000,26.054839,21.843871,17.558065,
82795,30,06,1967,0000,24.553333,20.536667,16.2,
82795,31,07,1967,0000,23.76129,19.544516,15.06129,
82795,31,08,1967,0000,24.490323,19.517419,14.948387,
82795,30,09,1967,0000,26.79,20.892667,16.96,
82795,31,10,1967,0000,26.509677,20.999355,17.125806,
82795,30,11,1967,0000,28.916667,21.936,16.326667,
82795,31,12,1967,0000,28.58,,18.703226,
82795,31,01,1968,0000,28.574194,22.896774,19.035484,
82795,29,02,1968,0000,28.734483,23.246897,19.255172,
82795,31,03,1968,0000,26.86129,22.470323,19.1,
82795,30,04,1968,0000,27.466667,22.611333,18.85,
82795,31,05,1968,0000,25.483871,21.647742,18.429032,
82795,30,06,1968,0000,24.882143,,17.666667,
82795,31,07,1968,0000,24.158065,20.01871,17.245161,
82795,31,08,1968,0000,25.735484,20.530323,16.774194,
82795,30,09,1968,0000,27.2,21.216,16.983333,
82795,31,10,1968,0000,29.312903,22.906452,18.809677,
82795,30,11,1968,0000,30.283333,23.662667,19.71,
82795,31,12,1968,0000,30.390323,24.036129,20.1,
82795,31,01,1969,0000,29.858065,24.054194,20.422581,
82795,28,02,1969,0000,30.564286,24.764286,20.957143,
82795,31,03,1969,0000,29.967742,24.570968,21.235484,
82795,31,05,1969,0000,26.66129,22.857419,20.403226,
82795,30,06,1969,0000,25.096667,21.748667,19.25,
82795,31,07,1969,0000,24.154839,20.776129,18.412903,
82795,31,03,1970,0000,27.677273,23.184545,20.131818,
