-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2018 
Location: Latitude  -7.21   Longitude -35.88 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 328.4 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
-7.20999,-35.87999,T2M_MAX,1981,   32.64,   32.80,   30.62,   29.14,   29.06,   28.57,   28.66,   30.57,   31.61,   33.84,   33.63,   32.06,   31.09
-7.20999,-35.87999,T2M_MAX,1982,   33.08,   32.74,   33.30,   32.26,   29.41,   27.65,   27.71,   28.44,   30.89,   32.63,   33.48,   33.79,   31.27
-7.20999,-35.87999,T2M_MAX,1983,   34.34,   32.35,   32.41,   32.08,   30.85,   29.56,   29.25,   29.80,   32.32,   32.72,   34.16,   34.23,   32.00
-7.20999,-35.87999,T2M_MAX,1984,   33.51,   34.35,   32.88,   29.13,   27.66,   26.95,   26.45,   27.96,   30.24,   32.14,   33.46,   34.74,   30.78
-7.20999,-35.87999,T2M_MAX,1985,   32.74,   31.23,   28.85,   27.73,   27.28,   26.90,   26.02,   26.80,   28.93,   32.28,   33.40,   32.52,   29.55
-7.20999,-35.87999,T2M_MAX,1986,   33.10,   30.79,   28.93,   28.29,   28.03,   26.53,   26.46,   26.91,   28.75,   31.52,   31.63,   31.96,   29.40
-7.20999,-35.87999,T2M_MAX,1987,   33.02,   32.98,   31.74,   29.34,   30.71,   28.68,   27.57,   29.81,   31.80,   33.69,   34.66,   34.64,   31.55
-7.20999,-35.87999,T2M_MAX,1988,   34.63,   34.48,   32.37,   29.36,   28.71,   28.09,   26.92,   27.50,   30.00,   33.16,   33.66,   33.49,   31.02
-7.20999,-35.87999,T2M_MAX,1989,   33.31,   34.28,   33.96,   27.65,   27.47,   27.14,   26.35,   27.14,   30.10,   32.44,   33.03,   32.01,   30.38
-7.20999,-35.87999,T2M_MAX,1990,   32.88,   33.23,   34.29,   32.54,   30.19,   27.97,   27.54,   27.58,   30.54,   31.80,   33.32,   34.20,   31.33
-7.20999,-35.87999,T2M_MAX,1991,   34.33,   33.91,   32.30,   30.90,   28.72,   27.98,   27.55,   28.02,   31.06,   31.95,   33.36,   34.20,   31.17
-7.20999,-35.87999,T2M_MAX,1992,   32.70,   29.81,   29.84,   29.04,   30.14,   28.38,   27.71,   29.17,   30.59,   32.45,   33.32,   33.79,   30.59
-7.20999,-35.87999,T2M_MAX,1993,   33.61,   34.59,   34.23,   32.76,   31.58,   29.50,   28.62,   30.28,   33.02,   33.66,   33.66,   34.35,   32.47
-7.20999,-35.87999,T2M_MAX,1994,   33.61,   33.31,   33.01,   30.33,   28.34,   27.18,   26.00,   27.13,   29.12,   31.97,   33.42,   32.91,   30.51
-7.20999,-35.87999,T2M_MAX,1995,   33.43,   32.61,   33.12,   30.00,   30.04,   27.75,   26.25,   27.80,   30.83,   33.54,   33.09,   34.88,   31.11
-7.20999,-35.87999,T2M_MAX,1996,   33.81,   34.21,   32.68,   30.03,   29.39,   27.60,   27.83,   28.46,   30.47,   32.72,   32.26,   34.11,   31.13
-7.20999,-35.87999,T2M_MAX,1997,   33.59,   32.09,   31.35,   29.29,   28.35,   28.42,   28.25,   29.27,   32.94,   34.54,   34.49,   34.39,   31.41
-7.20999,-35.87999,T2M_MAX,1998,   34.22,   35.08,   34.97,   34.73,   32.85,   30.80,   29.90,   29.46,   32.17,   33.81,   34.85,   34.73,   33.11
-7.20999,-35.87999,T2M_MAX,1999,   33.93,   33.84,   32.85,   33.31,   30.95,   30.31,   28.89,   29.95,   32.15,   33.31,   34.50,   33.09,   32.24
-7.20999,-35.87999,T2M_MAX,2000,   32.30,   31.40,   32.04,   29.75,   28.92,   27.44,   26.50,   26.76,   28.04,   30.22,   32.96,   32.12,   29.87
-7.20999,-35.87999,T2M_MAX,2001,   33.04,   34.54,   33.50,   31.42,   32.83,   29.36,   27.93,   28.55,   31.66,   33.36,   34.52,   33.56,   32.01
-7.20999,-35.87999,T2M_MAX,2002,   30.89,   32.08,   31.70,   31.99,   30.79,   27.90,   28.24,   29.45,   32.26,   33.34,   33.93,   34.71,   31.43
-7.20999,-35.87999,T2M_MAX,2003,   34.33,   32.49,   30.65,   30.56,   30.32,   28.38,   28.28,   30.31,   31.91,   33.57,   34.66,   34.40,   31.65
-7.20999,-35.87999,T2M_MAX,2004,   30.80,   28.93,   29.85,   30.25,   29.14,   27.60,   26.89,   28.57,   31.00,   33.49,   34.39,   34.51,   30.45
-7.20999,-35.87999,T2M_MAX,2005,   34.47,   34.63,   34.06,   33.29,   30.61,   26.98,   26.77,   27.47,   30.28,   32.72,   34.04,   33.32,   31.53
-7.20999,-35.87999,T2M_MAX,2006,   34.07,   34.16,   33.40,   30.23,   29.19,   28.06,   28.29,   29.17,   30.43,   32.45,   33.55,   34.22,   31.42
-7.20999,-35.87999,T2M_MAX,2007,   33.96,   33.47,   31.42,   31.16,   28.95,   27.07,   26.93,   27.42,   28.97,   32.22,   33.70,   33.66,   30.73
-7.20999,-35.87999,T2M_MAX,2008,   33.27,   34.39,   32.20,   29.29,   28.39,   26.89,   26.72,   27.78,   30.54,   32.72,   34.11,   34.31,   30.87
-7.20999,-35.87999,T2M_MAX,2009,   33.61,   30.92,   30.21,   29.26,   27.69,   27.10,   26.83,   27.16,   29.06,   32.47,   33.63,   33.30,   30.10
-7.20999,-35.87999,T2M_MAX,2010,   31.82,   33.06,   34.75,   32.36,   32.27,   28.96,   27.57,   28.05,   30.04,   33.31,   34.38,   33.31,   31.65
-7.20999,-35.87999,T2M_MAX,2011,   32.16,   31.46,   31.50,   29.19,   27.39,   27.00,   26.08,   26.84,   28.33,   31.94,   32.91,   33.76,   29.87
-7.20999,-35.87999,T2M_MAX,2012,   32.50,   31.79,   33.27,   33.92,   32.46,   29.25,   27.01,   28.77,   31.87,   33.26,   34.72,   34.83,   31.97
-7.20999,-35.87999,T2M_MAX,2013,   34.24,   34.43,   34.70,   33.77,   29.95,   28.03,   26.87,   28.02,   29.69,   32.33,   32.56,   33.64,   31.50
-7.20999,-35.87999,T2M_MAX,2014,   33.47,   32.44,   32.76,   32.71,   30.21,   28.80,   27.97,   29.31,   30.52,   31.88,   33.57,   33.28,   31.40
-7.20999,-35.87999,T2M_MAX,2015,   33.85,   33.84,   32.09,   33.99,   32.64,   29.80,   27.69,   28.78,   32.00,   33.61,   35.07,   33.27,   32.20
-7.20999,-35.87999,T2M_MAX,2016,   31.54,   32.42,   33.44,   31.00,   28.87,   28.21,   28.47,   31.10,   32.73,   34.06,   34.41,   33.95,   31.68
-7.20999,-35.87999,T2M_MAX,2017,   34.10,   34.21,   32.91,   31.48,   29.98,   28.11,   26.45,   28.01,   29.33,   32.30,   33.90,   33.87,   31.20
-7.20999,-35.87999,T2M_MAX,2018,   33.00,   31.60,   31.63,   28.45,   27.85,   27.67,   28.25,   30.56,   32.22,   34.57,   34.57,   34.03,   31.20
-7.20999,-35.87999,T2M_MIN,1981,   21.50,   21.27,   21.47,   20.79,   20.58,   19.27,   18.36,   18.86,   19.18,   20.65,   21.10,   21.85,   20.40
-7.20999,-35.87999,T2M_MIN,1982,   21.24,   21.63,   21.71,   21.75,   20.42,   19.49,   18.62,   18.14,   19.43,   19.63,   20.88,   21.36,   20.35
-7.20999,-35.87999,T2M_MIN,1983,   21.89,   22.02,   21.89,   21.34,   20.94,   19.36,   18.69,   18.90,   19.55,   19.81,   20.89,   21.14,   20.52
-7.20999,-35.87999,T2M_MIN,1984,   21.10,   22.00,   22.03,   21.46,   20.69,   19.16,   18.40,   18.37,   19.31,   20.23,   20.73,   21.50,   20.41
-7.20999,-35.87999,T2M_MIN,1985,   21.95,   21.14,   21.52,   21.29,   20.51,   19.59,   19.03,   18.65,   18.76,   19.55,   20.62,   21.32,   20.32
-7.20999,-35.87999,T2M_MIN,1986,   21.33,   20.93,   21.05,   21.22,   20.13,   18.98,   18.80,   18.12,   19.32,   19.71,   20.51,   21.04,   20.09
-7.20999,-35.87999,T2M_MIN,1987,   21.62,   21.57,   21.80,   21.41,   20.71,   19.90,   19.13,   18.84,   19.33,   20.18,   21.46,   21.91,   20.65
-7.20999,-35.87999,T2M_MIN,1988,   22.17,   22.26,   22.22,   21.90,   20.38,   19.42,   18.96,   17.94,   18.37,   20.17,   21.08,   21.41,   20.52
-7.20999,-35.87999,T2M_MIN,1989,   21.36,   21.63,   21.85,   21.75,   21.04,   20.16,   19.29,   18.71,   18.88,   20.20,   21.18,   21.76,   20.65
-7.20999,-35.87999,T2M_MIN,1990,   20.85,   21.55,   21.93,   21.94,   20.50,   19.85,   19.37,   18.53,   18.98,   20.12,   21.14,   21.10,   20.48
-7.20999,-35.87999,T2M_MIN,1991,   21.85,   21.87,   21.73,   21.32,   21.04,   19.48,   18.35,   17.98,   19.04,   19.03,   20.36,   21.02,   20.24
-7.20999,-35.87999,T2M_MIN,1992,   21.67,   21.28,   21.31,   20.77,   19.91,   19.49,   17.82,   18.16,   18.78,   19.10,   20.41,   21.12,   19.98
-7.20999,-35.87999,T2M_MIN,1993,   21.26,   21.53,   21.40,   21.29,   20.88,   19.23,   18.19,   18.66,   19.50,   20.48,   20.87,   21.44,   20.39
-7.20999,-35.87999,T2M_MIN,1994,   21.50,   21.39,   22.25,   21.38,   21.08,   20.19,   18.51,   17.87,   18.70,   19.63,   20.47,   21.29,   20.35
-7.20999,-35.87999,T2M_MIN,1995,   21.45,   21.65,   21.86,   21.59,   21.02,   19.87,   18.66,   17.76,   18.37,   19.88,   20.81,   21.45,   20.36
-7.20999,-35.87999,T2M_MIN,1996,   21.62,   21.75,   21.92,   21.79,   20.34,   18.90,   18.64,   18.95,   19.03,   20.05,   20.86,   21.42,   20.43
-7.20999,-35.87999,T2M_MIN,1997,   21.78,   21.08,   21.75,   21.08,   20.32,   18.40,   18.34,   18.29,   19.22,   20.60,   21.38,   21.80,   20.33
-7.20999,-35.87999,T2M_MIN,1998,   22.62,   22.85,   22.93,   22.51,   21.20,   19.75,   19.42,   18.52,   19.17,   20.42,   21.37,   21.59,   21.02
-7.20999,-35.87999,T2M_MIN,1999,   21.63,   21.65,   21.60,   21.19,   20.70,   19.30,   18.42,   18.19,   19.28,   19.98,   21.20,   21.69,   20.39
-7.20999,-35.87999,T2M_MIN,2000,   21.08,   21.51,   21.48,   21.61,   20.26,   20.03,   19.26,   18.36,   19.30,   19.45,   20.66,   20.99,   20.32
-7.20999,-35.87999,T2M_MIN,2001,   20.78,   21.80,   21.83,   21.28,   20.86,   19.95,   19.14,   17.96,   19.23,   20.45,   21.01,   22.12,   20.53
-7.20999,-35.87999,T2M_MIN,2002,   21.72,   21.25,   21.25,   21.41,   20.89,   19.77,   19.08,   18.56,   18.88,   20.47,   20.88,   22.22,   20.53
-7.20999,-35.87999,T2M_MIN,2003,   22.06,   21.85,   21.87,   21.14,   20.84,   19.43,   18.56,   18.83,   19.61,   20.66,   21.30,   21.90,   20.66
-7.20999,-35.87999,T2M_MIN,2004,   22.18,   21.27,   20.92,   21.15,   20.68,   20.01,   18.96,   18.68,   19.24,   20.50,   20.99,   21.54,   20.51
-7.20999,-35.87999,T2M_MIN,2005,   22.18,   22.75,   22.85,   22.25,   21.90,   20.44,   18.47,   18.74,   18.89,   19.87,   21.11,   21.33,   20.88
-7.20999,-35.87999,T2M_MIN,2006,   21.42,   22.34,   22.15,   21.99,   21.30,   20.04,   19.01,   18.79,   19.06,   20.08,   21.01,   21.71,   20.73
-7.20999,-35.87999,T2M_MIN,2007,   21.98,   22.54,   21.44,   21.78,   20.53,   19.68,   18.60,   18.46,   18.73,   19.70,   20.66,   21.26,   20.43
-7.20999,-35.87999,T2M_MIN,2008,   21.66,   21.96,   22.20,   21.15,   20.91,   19.06,   18.91,   18.57,   19.53,   20.55,   21.17,   21.59,   20.60
-7.20999,-35.87999,T2M_MIN,2009,   21.72,   21.57,   21.38,   21.99,   21.60,   20.17,   19.66,   19.06,   19.37,   20.00,   21.02,   22.04,   20.79
-7.20999,-35.87999,T2M_MIN,2010,   21.82,   22.49,   22.82,   22.63,   21.48,   20.26,   19.40,   18.19,   18.90,   20.80,   21.16,   21.63,   20.95
-7.20999,-35.87999,T2M_MIN,2011,   21.58,   21.69,   21.56,   21.66,   21.26,   20.00,   19.21,   18.50,   18.52,   20.28,   21.00,   21.22,   20.53
-7.20999,-35.87999,T2M_MIN,2012,   21.45,   21.12,   21.34,   21.64,   21.07,   20.04,   18.51,   18.30,   19.03,   20.15,   21.40,   21.89,   20.49
-7.20999,-35.87999,T2M_MIN,2013,   22.13,   22.08,   22.56,   22.30,   20.94,   20.03,   19.20,   18.87,   19.02,   19.95,   20.78,   21.57,   20.78
-7.20999,-35.87999,T2M_MIN,2014,   21.21,   21.17,   21.35,   21.38,   20.43,   19.82,   18.95,   18.72,   19.47,   20.28,   20.96,   21.48,   20.43
-7.20999,-35.87999,T2M_MIN,2015,   21.41,   22.10,   21.72,   21.77,   21.28,   20.27,   19.82,   18.70,   19.74,   20.55,   21.19,   21.90,   20.86
