-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2018 
Location: Latitude  -7.1   Longitude -34.86 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 37.35 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
-7.09999,-34.85999,T2M_MAX,1981,   29.35,   29.40,   28.77,   28.74,   27.88,   27.00,   26.41,   27.17,   27.61,   28.94,   29.42,   29.11,   28.31
-7.09999,-34.85999,T2M_MAX,1982,   29.28,   29.07,   29.30,   29.30,   28.14,   27.15,   26.45,   26.24,   27.03,   27.90,   28.79,   29.39,   28.16
-7.09999,-34.85999,T2M_MAX,1983,   29.96,   29.53,   29.58,   29.36,   28.44,   27.54,   26.88,   26.88,   27.98,   28.37,   29.35,   29.48,   28.61
-7.09999,-34.85999,T2M_MAX,1984,   29.53,   29.98,   30.12,   28.54,   27.50,   26.96,   26.19,   26.34,   27.02,   27.76,   28.63,   29.69,   28.18
-7.09999,-34.85999,T2M_MAX,1985,   29.49,   29.27,   28.43,   27.98,   27.64,   27.09,   25.99,   26.30,   26.70,   27.93,   28.79,   28.89,   27.87
-7.09999,-34.85999,T2M_MAX,1986,   29.42,   28.79,   28.16,   28.01,   27.88,   26.44,   26.17,   26.08,   26.42,   27.40,   27.77,   28.09,   27.55
-7.09999,-34.85999,T2M_MAX,1987,   28.89,   29.06,   29.09,   28.69,   28.35,   27.41,   26.74,   26.92,   27.26,   28.48,   29.62,   30.11,   28.38
-7.09999,-34.85999,T2M_MAX,1988,   30.16,   30.51,   30.38,   28.80,   28.19,   27.23,   26.25,   25.89,   26.58,   28.21,   29.08,   29.35,   28.38
-7.09999,-34.85999,T2M_MAX,1989,   29.53,   29.89,   30.07,   27.82,   27.78,   27.14,   26.31,   26.24,   27.00,   27.95,   28.77,   28.96,   28.11
-7.09999,-34.85999,T2M_MAX,1990,   29.11,   29.48,   30.06,   29.53,   28.21,   27.17,   26.64,   26.12,   26.74,   27.46,   28.51,   29.39,   28.19
-7.09999,-34.85999,T2M_MAX,1991,   29.85,   29.94,   29.71,   28.95,   27.83,   27.19,   26.05,   25.95,   27.02,   27.38,   28.51,   29.35,   28.13
-7.09999,-34.85999,T2M_MAX,1992,   29.11,   28.63,   28.50,   28.28,   28.02,   26.91,   26.35,   26.47,   27.20,   28.07,   28.63,   29.17,   27.94
-7.09999,-34.85999,T2M_MAX,1993,   29.21,   29.83,   29.84,   29.38,   28.61,   27.38,   26.64,   27.22,   28.39,   29.01,   29.28,   29.64,   28.70
-7.09999,-34.85999,T2M_MAX,1994,   29.81,   30.04,   30.25,   28.59,   27.95,   27.10,   26.35,   26.13,   26.71,   27.66,   28.68,   28.90,   28.17
-7.09999,-34.85999,T2M_MAX,1995,   29.52,   29.58,   30.02,   28.64,   28.24,   27.16,   26.22,   26.09,   26.84,   28.32,   28.69,   29.79,   28.25
-7.09999,-34.85999,T2M_MAX,1996,   29.73,   30.24,   29.57,   28.45,   28.25,   26.98,   26.24,   26.55,   27.12,   28.36,   28.86,   29.72,   28.33
-7.09999,-34.85999,T2M_MAX,1997,   29.90,   29.37,   28.87,   28.22,   27.65,   26.89,   26.48,   26.55,   28.00,   29.13,   29.64,   29.92,   28.38
-7.09999,-34.85999,T2M_MAX,1998,   30.29,   30.76,   31.17,   31.11,   29.72,   28.11,   27.48,   26.89,   28.08,   29.07,   29.82,   29.97,   29.36
-7.09999,-34.85999,T2M_MAX,1999,   30.07,   30.08,   29.87,   30.04,   28.56,   27.95,   27.41,   27.32,   28.18,   28.72,   29.70,   29.64,   28.95
-7.09999,-34.85999,T2M_MAX,2000,   29.61,   29.56,   29.93,   28.99,   28.09,   27.03,   26.25,   26.34,   26.94,   27.48,   28.50,   28.59,   28.10
-7.09999,-34.85999,T2M_MAX,2001,   29.34,   30.26,   30.17,   28.86,   29.16,   27.70,   26.89,   26.76,   27.88,   28.93,   29.64,   29.76,   28.77
-7.09999,-34.85999,T2M_MAX,2002,   29.01,   29.64,   29.42,   29.17,   28.72,   27.30,   26.83,   26.82,   28.02,   28.88,   29.32,   30.08,   28.59
-7.09999,-34.85999,T2M_MAX,2003,   30.24,   29.83,   28.86,   28.90,   28.60,   27.25,   26.67,   27.10,   28.00,   29.13,   29.75,   29.88,   28.68
-7.09999,-34.85999,T2M_MAX,2004,   29.23,   28.86,   29.29,   29.27,   28.42,   27.43,   26.75,   26.91,   27.53,   28.77,   29.45,   29.84,   28.48
-7.09999,-34.85999,T2M_MAX,2005,   30.45,   30.68,   30.87,   30.72,   29.33,   27.33,   26.78,   26.63,   27.22,   28.12,   29.23,   29.72,   28.91
-7.09999,-34.85999,T2M_MAX,2006,   29.84,   30.50,   30.55,   29.28,   28.64,   27.70,   27.10,   27.09,   27.89,   28.97,   29.55,   29.89,   28.91
-7.09999,-34.85999,T2M_MAX,2007,   30.12,   30.28,   29.54,   29.45,   28.35,   27.24,   26.69,   26.42,   26.67,   27.75,   28.99,   29.57,   28.41
-7.09999,-34.85999,T2M_MAX,2008,   29.75,   30.46,   29.83,   28.66,   28.24,   27.14,   26.46,   26.58,   27.34,   28.33,   29.32,   29.74,   28.48
-7.09999,-34.85999,T2M_MAX,2009,   30.04,   29.40,   29.25,   28.92,   28.02,   27.54,   27.10,   26.94,   27.55,   28.50,   29.32,   29.71,   28.52
-7.09999,-34.85999,T2M_MAX,2010,   29.45,   30.35,   30.99,   30.31,   29.90,   28.48,   27.38,   26.88,   27.59,   29.23,   29.66,   29.70,   29.15
-7.09999,-34.85999,T2M_MAX,2011,   29.26,   29.41,   29.89,   28.78,   27.72,   27.27,   26.56,   26.67,   26.94,   28.23,   29.07,   29.55,   28.27
-7.09999,-34.85999,T2M_MAX,2012,   29.28,   28.95,   29.67,   29.83,   29.22,   27.70,   26.64,   26.45,   27.82,   28.55,   29.50,   29.98,   28.63
-7.09999,-34.85999,T2M_MAX,2013,   30.04,   30.36,   30.67,   30.38,   28.67,   27.73,   26.88,   26.95,   27.24,   28.15,   28.81,   29.62,   28.78
-7.09999,-34.85999,T2M_MAX,2014,   29.53,   29.29,   29.60,   30.09,   28.64,   27.83,   27.12,   27.20,   27.75,   28.61,   29.31,   29.41,   28.69
-7.09999,-34.85999,T2M_MAX,2015,   29.75,   30.17,   29.85,   30.42,   29.91,   28.57,   27.26,   27.42,   28.64,   29.10,   29.88,   29.67,   29.21
-7.09999,-34.85999,T2M_MAX,2016,   29.52,   29.93,   30.40,   29.69,   28.31,   27.69,   27.48,   28.42,   28.89,   29.50,   29.73,   29.93,   29.12
-7.09999,-34.85999,T2M_MAX,2017,   30.12,   30.35,   30.16,   29.66,   28.86,   27.89,   26.46,   26.70,   27.25,   28.59,   29.34,   29.84,   28.76
-7.09999,-34.85999,T2M_MAX,2018,   29.82,   29.84,   30.33,   28.32,   27.90,   27.43,   26.92,   27.82,   28.39,   29.56,   29.97,   30.10,   28.86
-7.09999,-34.85999,T2M_MIN,1981,   25.24,   25.34,   25.26,   25.31,   24.91,   23.94,   23.11,   23.18,   23.28,   24.34,   25.01,   25.42,   24.52
-7.09999,-34.85999,T2M_MIN,1982,   25.04,   25.19,   25.40,   25.55,   24.85,   24.21,   23.35,   22.77,   23.37,   23.55,   24.37,   25.02,   24.38
-7.09999,-34.85999,T2M_MIN,1983,   25.31,   25.61,   25.80,   25.73,   25.11,   24.04,   23.17,   23.16,   23.61,   23.79,   24.71,   24.81,   24.56
-7.09999,-34.85999,T2M_MIN,1984,   24.82,   25.49,   25.78,   25.50,   24.92,   24.04,   23.33,   22.93,   23.41,   23.94,   24.44,   25.10,   24.47
-7.09999,-34.85999,T2M_MIN,1985,   25.38,   25.14,   25.42,   25.13,   24.92,   24.28,   23.51,   23.12,   23.11,   23.77,   24.48,   24.82,   24.42
-7.09999,-34.85999,T2M_MIN,1986,   25.12,   24.95,   25.02,   25.22,   25.01,   23.81,   23.33,   22.81,   23.27,   23.61,   24.21,   24.52,   24.23
-7.09999,-34.85999,T2M_MIN,1987,   24.99,   25.10,   25.47,   25.68,   25.10,   24.39,   23.90,   23.59,   23.51,   24.12,   25.18,   25.85,   24.74
-7.09999,-34.85999,T2M_MIN,1988,   25.61,   26.01,   26.19,   25.88,   25.12,   24.34,   23.59,   22.76,   22.99,   24.03,   24.88,   25.03,   24.70
-7.09999,-34.85999,T2M_MIN,1989,   25.20,   25.40,   25.59,   25.26,   25.19,   24.45,   23.80,   23.29,   23.33,   24.14,   24.80,   25.35,   24.65
-7.09999,-34.85999,T2M_MIN,1990,   25.00,   25.33,   25.70,   25.87,   24.95,   24.40,   23.86,   23.16,   23.21,   23.87,   24.59,   24.98,   24.57
-7.09999,-34.85999,T2M_MIN,1991,   25.35,   25.53,   25.67,   25.36,   25.05,   24.31,   23.08,   22.66,   23.04,   23.09,   24.13,   24.82,   24.33
-7.09999,-34.85999,T2M_MIN,1992,   25.14,   25.24,   25.26,   25.10,   24.60,   24.00,   23.00,   22.89,   23.09,   23.57,   24.11,   24.74,   24.23
