-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2018 
Location: Latitude  -7.88   Longitude -37.06 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 592.67 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
-7.87999,-37.05999,T2M_MAX,1981,   33.77,   34.18,   30.55,   28.91,   30.74,   31.17,   30.61,   32.35,   33.67,   36.03,   35.24,   33.78,   32.57
-7.87999,-37.05999,T2M_MAX,1982,   34.74,   33.78,   34.57,   32.47,   29.85,   30.48,   30.72,   31.68,   33.91,   34.90,   35.31,   35.29,   33.14
-7.87999,-37.05999,T2M_MAX,1983,   35.25,   31.17,   33.16,   32.54,   33.35,   31.56,   31.55,   32.33,   34.64,   34.89,   35.87,   35.60,   33.51
-7.87999,-37.05999,T2M_MAX,1984,   34.73,   35.92,   31.77,   28.22,   27.85,   29.12,   29.37,   31.51,   33.46,   34.71,   35.25,   36.41,   32.35
-7.87999,-37.05999,T2M_MAX,1985,   33.00,   29.00,   28.65,   26.84,   26.99,   26.72,   27.25,   29.94,   32.92,   35.22,   35.11,   32.32,   30.34
-7.87999,-37.05999,T2M_MAX,1986,   33.34,   30.54,   28.28,   28.07,   28.75,   28.99,   29.30,   30.93,   32.34,   34.19,   33.34,   34.17,   31.03
-7.87999,-37.05999,T2M_MAX,1987,   34.51,   34.01,   30.89,   30.14,   32.74,   31.03,   30.37,   32.89,   34.51,   36.14,   36.60,   36.39,   33.35
-7.87999,-37.05999,T2M_MAX,1988,   35.61,   34.88,   30.75,   29.20,   29.85,   30.06,   29.36,   30.79,   32.80,   35.35,   35.33,   33.22,   32.26
-7.87999,-37.05999,T2M_MAX,1989,   33.31,   35.11,   33.60,   27.53,   27.37,   28.23,   28.25,   30.75,   33.61,   34.52,   35.27,   31.36,   31.55
-7.87999,-37.05999,T2M_MAX,1990,   33.69,   33.06,   34.94,   32.84,   31.78,   31.29,   30.39,   31.69,   33.50,   34.63,   34.92,   35.78,   33.21
-7.87999,-37.05999,T2M_MAX,1991,   34.61,   32.62,   31.63,   31.68,   30.30,   30.43,   30.28,   30.69,   33.73,   34.48,   35.43,   35.89,   32.65
-7.87999,-37.05999,T2M_MAX,1992,   33.61,   28.90,   30.42,   30.62,   32.54,   31.15,   30.32,   31.89,   32.85,   34.74,   35.15,   34.85,   32.27
-7.87999,-37.05999,T2M_MAX,1993,   34.20,   35.39,   35.44,   34.46,   32.62,   31.33,   30.92,   32.52,   34.65,   34.96,   35.31,   36.14,   33.98
-7.87999,-37.05999,T2M_MAX,1994,   32.96,   32.32,   30.99,   30.45,   28.78,   28.03,   28.39,   30.95,   32.48,   34.60,   35.46,   34.56,   31.66
-7.87999,-37.05999,T2M_MAX,1995,   34.08,   32.66,   32.24,   29.85,   30.17,   28.38,   28.89,   31.11,   33.52,   35.90,   34.24,   35.47,   32.21
-7.87999,-37.05999,T2M_MAX,1996,   34.30,   33.89,   31.00,   29.20,   28.96,   28.90,   29.41,   30.73,   32.91,   35.08,   33.73,   35.48,   31.96
