Estacao,Dia,Mes,Ano,Hora,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,
82791,31,01,1975,0000,34.967742,,,
82791,30,11,1975,0000,35.506667,28.466,22.233333,
82791,31,12,1975,0000,34.06129,27.631613,22.645161,
82791,29,02,1976,0000,32.058621,26.577895,22.484211,
82791,31,03,1976,0000,31.580645,25.850323,22.125806,
82791,30,04,1976,0000,31.41,25.718333,21.9,
82791,31,05,1976,0000,32.958065,,,
82791,30,06,1976,0000,32.18,,,
82791,31,07,1976,0000,32.077419,,,
82791,31,08,1976,0000,33.16129,26.265333,20.46,
82791,30,09,1976,0000,33.916667,27.414667,21.543333,
82791,31,10,1976,0000,33.445161,27.438,22.8,
82791,30,11,1976,0000,34.413333,27.828148,22.603704,
82791,31,12,1976,0000,34.987097,28.249677,22.509677,
82791,31,01,1977,0000,32.322581,26.68129,22.603226,
82791,28,02,1977,0000,32.9,,,
82791,31,03,1977,0000,32.729032,,,
82791,30,04,1977,0000,30.616667,,,
82791,31,05,1977,0000,30.5,,,
82791,30,06,1977,0000,30.263333,,,
82791,31,07,1977,0000,29.896774,,,
82791,31,08,1977,0000,32.222581,25.881935,20.406452,
82791,30,09,1977,0000,33.38,26.935333,21.38,
82791,31,10,1977,0000,35.029032,,,
82791,30,11,1977,0000,35.826667,28.8144,22.892,
82791,31,12,1977,0000,34.43871,28.489032,23.309677,
82791,31,01,1978,0000,35.632258,29.287097,23.425806,
82791,28,02,1978,0000,32.732143,27.065714,22.903571,
82791,31,03,1978,0000,30.858065,25.822581,21.954839,
82791,30,04,1978,0000,31.506667,26.239333,22.276667,
82791,31,05,1978,0000,30.553333,25.326667,21.573333,
82791,30,06,1978,0000,30.393333,24.755333,20.406667,
82791,31,07,1978,0000,31.280645,25.390968,21.035484,
82791,31,08,1978,0000,32.122581,25.470435,19.930435,
82791,30,09,1978,0000,33.293333,,,
82791,31,10,1978,0000,34.812903,,,
82791,30,11,1978,0000,35.163333,,,
82791,31,12,1978,0000,34.932258,,,
82791,31,01,1979,0000,34.996667,,,
82791,28,02,1979,0000,33.791667,27.7175,22.920833,
82791,31,03,1979,0000,32.955556,26.984545,22.82963,
82791,30,04,1979,0000,32.319231,26.41375,22.15,
82791,31,05,1979,0000,31.3,,21.840741,
82791,30,06,1979,0000,31.714286,25.25375,20.3,
82791,31,07,1979,0000,31.951852,,20.481481,
82791,31,08,1979,0000,33.34,,21.105,
82791,30,09,1979,0000,33.936,,22.548,
82791,31,10,1979,0000,35.358333,,22.183333,
82791,30,11,1979,0000,35.36,,22.955,
82791,31,12,1979,0000,35.544444,,23.305556,
82791,31,01,1980,0000,34.268421,,23.242105,
82791,29,02,1980,0000,32.229167,26.518889,22.65,
82791,31,03,1980,0000,31.721429,,22.057143,
82791,30,04,1980,0000,34.032,,22.604,
82791,31,05,1980,0000,33.758621,,22.275862,
82791,30,06,1980,0000,32.266667,,22,
82791,31,07,1980,0000,32.269231,,20.884615,
82791,31,08,1980,0000,33.191667,,21.4,
82791,30,09,1980,0000,34.663636,,22.772727,
82791,31,10,1980,0000,35.04,,22.72,
82791,30,11,1980,0000,35.195455,,22.081818,
82791,31,12,1980,0000,35.232143,,22.553846,
82791,31,01,1981,0000,34.056,,,
82791,28,02,1981,0000,34.066667,,,
82791,30,04,1981,0000,31.427273,26.604545,22.113636,
82791,31,05,1981,0000,31.959091,26.810909,22.081818,
82791,30,06,1981,0000,31.937037,26.234815,21.266667,
82791,31,07,1981,0000,31.669231,25.775385,20.826923,
82791,31,08,1981,0000,32.668182,26.347273,20.877273,
82791,30,09,1981,0000,33.455,27.063,21.45,
82791,31,10,1981,0000,35.164706,28.362353,22.458824,
82791,30,11,1981,0000,34.752174,28.266957,23.043478,
82791,31,12,1981,0000,34.477778,28.757778,23.6,
82791,28,02,1982,0000,34.946667,28.730667,23.866667,
82791,31,03,1982,0000,34.347619,27.995238,23.285714,
82791,30,04,1982,0000,33.02381,27.514286,23.333333,
82791,31,05,1982,0000,30.979167,26.040833,21.683333,
82791,30,06,1982,0000,31.481818,25.929091,21.481818,
82791,31,07,1982,0000,31.710714,25.825714,20.885714,
82791,31,08,1982,0000,32.348276,26.112414,20.796552,
82791,30,09,1982,0000,34.180769,27.310769,21.823077,
82791,31,10,1982,0000,35.030435,27.893913,22,
82791,30,11,1982,0000,35.295,28.315,22.815,
82791,31,12,1982,0000,34.4875,,22.34375,
82791,28,02,1983,0000,32.842857,27.307857,22.964286,
82791,31,03,1983,0000,33.454839,27.632258,23.167742,
82791,30,04,1983,0000,33.463333,27.744667,22.79,
82791,31,05,1983,0000,34.33871,28.076129,22.948387,
82791,30,06,1983,0000,33.273333,27.066667,21.643333,
82791,31,07,1983,0000,33.177419,26.748387,21.541935,
82791,31,08,1983,0000,33.167742,26.640645,21.364516,
82791,30,09,1983,0000,34.97,27.902,22.106667,
82791,31,10,1983,0000,34.964516,28.062581,22.451613,
82791,30,11,1983,0000,35.796667,28.988,22.65,
82791,31,12,1983,0000,35.877419,29.268387,23.53871,
82791,31,01,1984,0000,35.696774,29.115484,23.387097,
82791,29,02,1984,0000,36.289655,29.561379,23.92069,
82791,31,03,1984,0000,33.319355,26.92,22.870968,
82791,30,04,1984,0000,30.826667,25.902,22.63,
82791,31,05,1984,0000,30.316129,25.382581,21.564516,
82791,30,06,1984,0000,31.53,25.653333,20.633333,
82791,31,07,1984,0000,31.354839,25.456774,20.387097,
82791,31,08,1984,0000,32.380645,26.198065,21.135484,
82791,30,09,1984,0000,33.893333,27.249333,21.693333,
82791,31,10,1984,0000,35.187097,28.203871,22.483871,
82791,30,11,1984,0000,35.876667,28.836,22.996667,
82791,31,12,1984,0000,36.53871,29.579355,23.509677,
82791,30,11,1993,0000,35.67,29.232667,23.723333,
82791,31,12,1993,0000,36.173333,29.867333,23.616667,
82791,31,01,1994,0000,34.109677,28.54129,23.777419,
82791,28,02,1994,0000,32.85,26.932857,22.732143,
82791,31,03,1994,0000,31.122581,26.166452,22.535484,
82791,30,04,1994,0000,31.563333,26.116667,21.92,
82791,31,05,1994,0000,31.26129,25.831613,21.635484,
82791,30,06,1994,0000,31.153333,25.623333,21.37,
82791,31,07,1994,0000,31.783871,25.559355,20.576667,
82791,31,08,1994,0000,33.358065,26.51871,20.622581,
82791,30,09,1994,0000,34.216667,27.124667,21.27,
82791,31,10,1994,0000,35.409677,28.267742,22.274194,
82791,30,11,1994,0000,36.006667,28.653333,22.223333,
82791,31,12,1994,0000,35.367742,28.596774,22.687097,
82791,31,01,1995,0000,34.922581,28.543871,22.867742,
82791,28,02,1995,0000,33.414286,27.236429,22.414286,
82791,31,03,1995,0000,33.825806,27.242308,22.606667,
82791,30,04,1995,0000,31.916667,26.625333,22.663333,
82791,31,05,1995,0000,32.066667,26.43,22,
82791,30,06,1995,0000,30.634483,25.305714,20.482759,
82791,31,07,1995,0000,31.13871,25.28129,20.232258,
82791,31,08,1995,0000,33.093548,26.144516,20.103333,
82791,30,09,1995,0000,34.327586,27.164,20.61,
82791,31,10,1995,0000,35.951613,,,
82791,30,11,1995,0000,34.59,,,
82791,31,12,1995,0000,36.219355,29.426667,23.296296,
82791,31,01,1996,0000,35.332258,29.04129,23.616129,
82791,29,02,1996,0000,34.703448,28.125714,23.289286,
82791,31,03,1996,0000,32.154839,26.541935,23,
82791,30,04,1996,0000,31.9,26.283333,22.613333,
82791,31,05,1996,0000,31.774194,26.227742,22.05,
82791,30,06,1996,0000,31.94,26.096667,21.258621,
82791,31,07,1996,0000,31.764516,25.442581,19.425806,
82791,31,08,1996,0000,33.158065,26.750968,21.264516,
82791,30,09,1996,0000,34.523333,27.594,22.006667,
82791,31,10,1996,0000,35.932258,28.683226,22.86129,
82791,30,11,1996,0000,35.323333,28.564,22.973333,
82791,31,12,1996,0000,36.354839,29.470323,23.390323,
82791,31,01,1997,0000,34.358065,28.28,23.154839,
82791,28,02,1997,0000,33.975,27.947857,23.375,
82791,31,03,1997,0000,33.564516,27.46129,22.896774,
82791,30,04,1997,0000,31.85,26.372667,22.196667,
82791,31,05,1997,0000,31.170968,25.792258,21.506667,
82791,30,06,1997,0000,32.206667,26.045333,20.436667,
82791,31,07,1997,0000,32.064516,25.707742,19.516129,
82791,31,08,1997,0000,33.264516,26.396129,20.164516,
82791,30,09,1997,0000,35.62,28.114667,20.743333,
82791,31,10,1997,0000,36.46129,29.139355,22.493548,
82791,30,11,1997,0000,36.613333,29.740667,23.526667,
82791,31,12,1997,0000,36.967742,29.9,24.235484,
82791,31,01,1998,0000,35.2,29.206452,24.580645,
82791,28,02,1998,0000,36.95,30.111852,24.703704,
82791,31,03,1998,0000,37.03871,30.26,24.990323,
82791,30,04,1998,0000,36.583333,30.321333,25.16,
82791,31,05,1998,0000,34.787097,29.11871,24.270968,
82791,30,06,1998,0000,33.756667,27.996,23.166667,
82791,31,07,1998,0000,32.919355,27.380645,22.693548,
82791,31,08,1998,0000,33.080645,27.125806,22.245161,
82791,30,09,1998,0000,34.94,28.320667,22.41,
82791,31,10,1998,0000,35.822581,29.094839,23.009677,
82791,30,11,1998,0000,35.99,29.792,24.003333,
82791,31,12,1998,0000,36.516129,30.03871,24.119355,
82791,31,01,1999,0000,35.793548,29.264516,23.86129,
82791,28,02,1999,0000,35.757143,29.132857,23.485714,
82791,31,03,1999,0000,34.612903,28.244516,23.13871,
82791,30,04,1999,0000,35.23,29.177333,23.863333,
82791,31,05,1999,0000,33.154839,27.230323,22.754839,
82791,30,06,1999,0000,32.936667,26.841333,21.46,
82791,31,07,1999,0000,32.035484,25.96,20.851613,
82791,31,08,1999,0000,33.296774,26.687742,20.716129,
82791,30,09,1999,0000,35.256667,27.736667,21.686667,
82791,31,10,1999,0000,35.012903,28.341935,22.564516,
82791,30,11,1999,0000,35.56,29.048,23.553333,
82791,31,12,1999,0000,34.683871,28.399355,23.63871,
82791,31,01,2000,0000,33.216129,27.389677,22.819355,
82791,29,02,2000,0000,33.396552,27.022759,22.586207,
82791,31,03,2000,0000,33.148387,27.007097,22.358065,
82791,30,04,2000,0000,32.64,26.752667,22.363333,
82791,31,05,2000,0000,33.619355,27.139355,21.848387,
82791,30,06,2000,0000,32.793333,26.475333,21.406667,
82791,31,07,2000,0000,32.535484,,21.090323,
82791,31,08,2000,0000,32.648387,,21.858065,
82791,30,09,2000,0000,34.136667,,22.893333,
