-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2018 
Location: Latitude  -7.01   Longitude -37.26 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 481.99 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
-7.00999,-37.25999,T2M_MAX,1981,   34.18,   34.61,   31.20,   28.91,   31.48,   32.49,   32.13,   33.72,   34.82,   36.78,   36.01,   34.54,   33.40
-7.00999,-37.25999,T2M_MAX,1982,   35.41,   34.66,   34.83,   32.55,   30.26,   31.42,   32.00,   32.81,   34.90,   35.71,   36.01,   36.02,   33.88
-7.00999,-37.25999,T2M_MAX,1983,   35.98,   31.94,   33.88,   33.13,   34.29,   33.05,   32.74,   33.57,   35.57,   35.75,   36.63,   36.40,   34.43
-7.00999,-37.25999,T2M_MAX,1984,   35.31,   36.55,   31.78,   28.49,   28.01,   29.45,   30.76,   32.76,   34.68,   35.76,   36.12,   37.08,   33.05
-7.00999,-37.25999,T2M_MAX,1985,   33.58,   28.94,   28.55,   27.08,   27.37,   27.38,   28.41,   31.43,   34.28,   36.10,   35.94,   33.27,   31.04
-7.00999,-37.25999,T2M_MAX,1986,   33.95,   30.44,   28.34,   28.16,   28.73,   29.82,   30.53,   32.07,   33.53,   35.23,   34.40,   35.02,   31.70
-7.00999,-37.25999,T2M_MAX,1987,   35.10,   34.45,   30.80,   29.98,   33.47,   32.42,   31.98,   34.03,   35.48,   36.88,   37.30,   37.02,   34.07
-7.00999,-37.25999,T2M_MAX,1988,   36.13,   35.23,   31.09,   29.20,   29.40,   30.79,   31.14,   32.35,   34.10,   36.35,   36.34,   34.31,   33.03
-7.00999,-37.25999,T2M_MAX,1989,   34.04,   35.39,   34.27,   27.55,   27.65,   28.44,   29.00,   31.69,   34.64,   35.56,   36.14,   32.56,   32.23
-7.00999,-37.25999,T2M_MAX,1990,   34.46,   33.60,   35.25,   33.47,   32.41,   32.45,   31.73,   32.62,   34.52,   35.42,   35.74,   36.57,   34.02
-7.00999,-37.25999,T2M_MAX,1991,   35.20,   33.17,   31.84,   31.30,   30.36,   31.22,   31.68,   32.12,   34.79,   35.37,   36.23,   36.50,   33.31
-7.00999,-37.25999,T2M_MAX,1992,   34.40,   29.47,   30.76,   30.81,   33.24,   32.41,   31.68,   33.16,   33.92,   35.66,   36.14,   35.78,   33.14
-7.00999,-37.25999,T2M_MAX,1993,   34.77,   35.99,   35.76,   35.00,   33.31,   32.45,   32.06,   33.64,   35.47,   35.88,   36.27,   36.82,   34.77
-7.00999,-37.25999,T2M_MAX,1994,   33.33,   32.53,   31.16,   30.42,   29.43,   28.87,   29.45,   32.32,   33.73,   35.60,   36.25,   35.30,   32.37
-7.00999,-37.25999,T2M_MAX,1995,   34.20,   33.30,   32.61,   29.36,   29.98,   28.71,   29.73,   32.17,   34.63,   36.69,   35.21,   36.22,   32.74
-7.00999,-37.25999,T2M_MAX,1996,   34.67,   34.13,   30.68,   29.55,   28.87,   29.76,   30.91,   32.30,   34.24,   36.03,   34.69,   36.18,   32.67
-7.00999,-37.25999,T2M_MAX,1997,   33.77,   32.57,   32.60,   29.20,   29.90,   31.46,   31.34,   32.54,   36.12,   37.13,   36.26,   36.06,   33.25
-7.00999,-37.25999,T2M_MAX,1998,   35.03,   36.55,   36.22,   36.34,   35.34,   33.52,   32.98,   33.09,   35.43,   36.88,   37.09,   37.04,   35.45
-7.00999,-37.25999,T2M_MAX,1999,   35.30,   35.50,   32.61,   34.39,   31.23,   32.00,   31.44,   32.98,   35.14,   35.65,   35.82,   34.83,   33.89
-7.00999,-37.25999,T2M_MAX,2000,   32.31,   31.02,   30.71,   29.77,   31.02,   30.91,   30.99,   31.47,   33.36,   35.22,   36.10,   33.89,   32.24
-7.00999,-37.25999,T2M_MAX,2001,   34.66,   34.78,   33.27,   31.98,   34.72,   31.48,   31.05,   31.96,   35.08,   35.50,   36.98,   35.70,   33.92
-7.00999,-37.25999,T2M_MAX,2002,   29.90,   31.39,   31.78,   31.63,   31.82,   30.51,   31.63,   32.56,   35.18,   36.18,   36.64,   36.22,   32.96
-7.00999,-37.25999,T2M_MAX,2003,   34.62,   32.24,   31.46,   31.96,   31.77,   32.12,   32.10,   33.81,   35.03,   36.37,   36.89,   36.63,   33.76
-7.00999,-37.25999,T2M_MAX,2004,   31.08,   28.63,   30.13,   32.28,   31.81,   29.96,   30.66,   32.78,   34.64,   36.49,   36.92,   36.36,   32.66
-7.00999,-37.25999,T2M_MAX,2005,   35.14,   35.23,   33.77,   32.02,   31.47,   29.69,   30.73,   31.94,   34.58,   36.16,   36.67,   33.67,   33.41
-7.00999,-37.25999,T2M_MAX,2006,   36.02,   34.14,   31.02,   28.95,   28.60,   28.51,   30.81,   32.65,   32.67,   34.51,   35.81,   36.31,   32.50
-7.00999,-37.25999,T2M_MAX,2007,   36.09,   32.30,   30.47,   32.27,   31.41,   30.44,   31.33,   32.14,   33.59,   35.85,   36.67,   35.59,   33.19
-7.00999,-37.25999,T2M_MAX,2008,   34.17,   33.64,   30.58,   28.47,   28.12,   27.71,   29.36,   31.50,   34.78,   36.01,   36.66,   35.62,   32.22
