Estacao,Dia,Mes,Ano,Hora,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,
82689,31,01,1961,0000,,,21.548387,
82689,28,02,1961,0000,31.075,25.535,21.171429,
82689,31,03,1961,0000,32.070968,25.959355,21.203226,
82689,30,04,1961,0000,31.886667,26.210667,21.35,
82689,31,05,1961,0000,32.1,26.006452,20.470968,
82689,30,06,1961,0000,32.293333,25.796,19.49,
82689,31,07,1961,0000,32.441935,25.632903,18.222581,
82689,31,08,1961,0000,33.348387,26.250323,19.506452,
82689,30,09,1961,0000,34.72,27.123333,20.44,
82689,31,10,1961,0000,34.977419,27.866452,20.8,
82689,30,11,1961,0000,35.46,28.153333,20.793333,
82689,31,12,1961,0000,34.867742,28.194194,22.103226,
82689,31,01,1962,0000,34.83871,28.210323,21.848387,
82689,28,02,1962,0000,33.103571,27.227857,22.017857,
82689,31,03,1962,0000,32.119355,26.563871,21.483871,
82689,30,04,1962,0000,32.046667,26.252,20.933333,
82689,31,05,1962,0000,32.516129,26.147742,19.506452,
82689,30,06,1962,0000,31.616667,25.748,19.313333,
82689,31,07,1962,0000,32.012903,25.532258,18.825806,
82689,31,08,1962,0000,33.612903,26.667097,19.116129,
82689,30,09,1962,0000,34.8,27.050667,20.066667,
82689,31,10,1962,0000,35.393548,27.841935,20.035484,
82689,30,11,1962,0000,35.353333,28.098,21.806667,
82689,31,12,1962,0000,34.980645,28.309032,22.067742,
82689,31,01,1963,0000,33.825806,27.276129,21.470968,
82689,28,02,1963,0000,31.867857,26.037143,20.839286,
82689,31,03,1963,0000,31.587097,25.949032,21.241935,
82689,30,04,1963,0000,31.5,25.956667,21.106667,
82689,31,05,1963,0000,31.454839,25.387097,19.406452,
82689,30,06,1963,0000,31.56,25.504667,18.476667,
82689,31,07,1963,0000,32.283871,25.590968,18.577419,
82689,31,08,1963,0000,33.812903,26.441935,19.380645,
82689,30,09,1963,0000,34.166667,27.044667,20.23,
82689,31,10,1963,0000,34.780645,27.776774,20.645161,
82689,30,11,1963,0000,34.126667,27.154667,20.603333,
82689,31,12,1963,0000,33.003226,26.529032,20.16129,
82689,31,01,1964,0000,32.119355,26.323226,21.390323,
82689,29,02,1964,0000,32.455172,26.258621,20.996552,
82689,31,03,1964,0000,32.151613,26.256774,21.074194,
82689,30,04,1964,0000,31.296667,25.396,20.256667,
82689,31,05,1964,0000,31.403226,25.607742,20.577419,
82689,30,06,1964,0000,29.906667,24.423333,19.026667,
82689,31,07,1964,0000,30.590323,24.563871,18.080645,
82689,31,08,1964,0000,32.074194,25.392258,18.73871,
82689,30,09,1964,0000,33.033333,25.995333,19.316667,
82689,31,10,1964,0000,34.36129,26.987097,20.190323,
82689,30,11,1964,0000,34.533333,27.502,21.146667,
82689,31,12,1964,0000,34.590323,27.284516,20.767742,
82689,31,01,1965,0000,32.596774,26.131613,20.674194,
82689,28,02,1965,0000,33.8,26.547143,20.585714,
82689,31,03,1965,0000,32.829032,26.48129,21.287097,
82689,30,04,1965,0000,30.863333,25.213333,20.84,
82689,31,05,1965,0000,30.758065,25.076774,20.125806,
82689,30,06,1965,0000,29.896667,24.511333,19.006667,
82689,31,07,1965,0000,31.651613,25.036774,17.870968,
82689,31,08,1965,0000,33.080645,25.628387,18.403226,
82689,30,09,1965,0000,33.886667,26.826667,19.796667,
82689,31,10,1965,0000,34.074194,27.113548,20.664516,
82689,30,11,1965,0000,34.696667,27.752,20.556667,
82689,31,12,1965,0000,34,27.036774,20.832258,
82689,31,01,1966,0000,33.796774,26.907742,21.667742,
82689,28,02,1966,0000,31.553571,25.794286,21.221429,
82689,31,03,1966,0000,32.767742,26.670968,21.774194,
82689,30,04,1966,0000,31.943333,26.361333,21.486667,
82689,31,05,1966,0000,32.783871,26.468387,20.835484,
82689,30,06,1966,0000,31.086667,25.305333,19.403333,
82689,31,07,1966,0000,30.793548,24.870323,18.793548,
82689,31,08,1966,0000,33.164516,25.811613,18.225806,
82689,30,09,1966,0000,34.143333,26.912667,20.15,
82689,31,10,1966,0000,34.964516,27.534194,20.664516,
82689,30,11,1966,0000,35.016667,27.641333,20.973333,
82689,31,12,1966,0000,34.425806,27.724516,21.645161,
82689,31,01,1967,0000,35.225806,28.016774,22.096774,
82689,28,02,1967,0000,31.596429,25.822143,21.385714,
82689,31,03,1967,0000,30.864516,25.399355,21.367742,
82689,30,04,1967,0000,30.87,25.23,21.146667,
82689,31,05,1967,0000,30.367742,25.249032,20.841935,
82689,30,06,1967,0000,31.216667,24.682,18.006667,
82689,31,07,1967,0000,31.56129,24.96129,17.925806,
82689,31,08,1967,0000,32.951613,25.584516,18.445161,
82689,30,09,1967,0000,34.263333,26.685333,19.586667,
82689,31,10,1967,0000,34.635484,27.304516,20.53871,
82689,30,11,1967,0000,34.863333,27.226,20.54,
82689,31,12,1967,0000,34.422581,26.973548,20.835484,
82689,31,01,1968,0000,33.603226,26.769032,21.009677,
82689,29,02,1968,0000,33.596552,26.786897,21.193103,
82689,31,03,1968,0000,31.680645,25.254839,20.425806,
82689,30,04,1968,0000,32.28,25.895333,20.846667,
82689,31,05,1968,0000,31.422581,25.330968,20.416129,
82689,30,06,1968,0000,31.35,24.616,18.086667,
82689,31,07,1968,0000,32.019355,24.967742,18.132258,
82689,31,08,1968,0000,33.464516,26.350968,20.319355,
82689,30,09,1968,0000,35.256667,27.232,20.853333,
82689,31,10,1968,0000,35.783871,27.734839,21.122581,
82689,30,11,1968,0000,35.63,27.744667,21.6,
82689,31,12,1968,0000,35.363333,27.808667,21.706452,
82689,31,01,1969,0000,33.983871,27.222581,21.787097,
82689,28,02,1969,0000,33.378571,26.731429,21.659259,
82689,31,03,1969,0000,32.496774,26.773548,22.370968,
82689,30,04,1969,0000,32.163333,26.554,21.706667,
82689,31,05,1969,0000,32.33871,26.350968,21.609677,
82689,30,06,1969,0000,31.796667,25.611333,20.156667,
82689,31,07,1969,0000,30.948387,25.100645,18.767742,
