-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2018 
Location: Latitude  -6.75   Longitude -38.21 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 324.99 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
-6.74999,-38.20999,T2M_MAX,1981,   34.91,   35.85,   31.89,   29.45,   32.26,   34.50,   34.42,   35.65,   36.82,   38.29,   37.52,   35.95,   34.79
-6.74999,-38.20999,T2M_MAX,1982,   35.92,   34.46,   34.14,   32.02,   30.48,   33.35,   34.15,   35.08,   36.77,   37.03,   37.41,   37.18,   34.84
-6.74999,-38.20999,T2M_MAX,1983,   36.88,   32.43,   34.16,   33.68,   35.85,   35.30,   34.72,   35.69,   37.22,   37.39,   37.85,   37.49,   35.75
-6.74999,-38.20999,T2M_MAX,1984,   35.92,   37.28,   31.01,   28.69,   28.44,   29.71,   32.53,   35.01,   36.87,   37.63,   37.51,   38.00,   34.04
-6.74999,-38.20999,T2M_MAX,1985,   33.63,   28.71,   28.85,   27.37,   27.97,   27.96,   29.01,   32.53,   35.97,   37.44,   37.44,   33.82,   31.74
-6.74999,-38.20999,T2M_MAX,1986,   34.57,   30.41,   28.31,   28.34,   28.74,   29.65,   31.53,   33.94,   35.94,   36.63,   36.04,   36.62,   32.58
-6.74999,-38.20999,T2M_MAX,1987,   35.83,   34.58,   30.43,   29.89,   33.94,   33.82,   34.37,   36.07,   37.20,   38.11,   38.50,   38.17,   35.08
-6.74999,-38.20999,T2M_MAX,1988,   36.67,   35.20,   31.26,   28.96,   29.10,   30.68,   33.09,   34.62,   36.35,   37.85,   37.82,   35.13,   33.89
-6.74999,-38.20999,T2M_MAX,1989,   34.32,   35.58,   33.74,   27.93,   28.11,   28.57,   29.14,   33.01,   36.22,   37.21,   37.66,   32.94,   32.85
-6.74999,-38.20999,T2M_MAX,1990,   35.32,   33.46,   34.93,   33.19,   32.89,   34.59,   33.68,   34.86,   36.36,   37.31,   36.77,   37.60,   35.09
-6.74999,-38.20999,T2M_MAX,1991,   35.24,   32.89,   31.88,   30.84,   30.25,   32.84,   34.02,   34.72,   36.65,   36.86,   37.42,   37.20,   34.24
-6.74999,-38.20999,T2M_MAX,1992,   35.12,   29.90,   30.60,   30.50,   33.69,   34.21,   33.99,   35.23,   35.92,   37.22,   37.40,   36.72,   34.23
-6.74999,-38.20999,T2M_MAX,1993,   35.54,   36.46,   35.89,   35.15,   33.89,   34.29,   34.03,   35.55,   36.81,   37.36,   37.79,   37.59,   35.86
-6.74999,-38.20999,T2M_MAX,1994,   33.19,   32.01,   30.76,   29.81,   29.97,   29.89,   31.53,   34.88,   36.26,   37.52,   37.61,   36.28,   33.32
-6.74999,-38.20999,T2M_MAX,1995,   34.26,   33.46,   32.63,   28.93,   29.34,   29.13,   31.40,   34.64,   36.62,   37.99,   36.44,   37.13,   33.51
-6.74999,-38.20999,T2M_MAX,1996,   34.55,   33.54,   29.54,   29.13,   28.69,   30.02,   32.76,   34.73,   36.57,   37.71,   36.15,   37.13,   33.38
-6.74999,-38.20999,T2M_MAX,1997,   33.92,   32.76,   32.96,   29.19,   30.15,   33.10,   33.83,   35.08,   37.42,   38.23,   37.51,   37.14,   34.29
-6.74999,-38.20999,T2M_MAX,1998,   34.41,   36.24,   36.02,   36.82,   37.03,   35.64,   35.12,   35.43,   37.33,   38.38,   38.09,   38.05,   36.55
-6.74999,-38.20999,T2M_MAX,1999,   35.38,   36.20,   32.01,   34.11,   30.85,   33.14,   34.02,   35.25,   36.99,   37.12,   36.80,   35.91,   34.80
-6.74999,-38.20999,T2M_MAX,2000,   32.16,   31.13,   29.93,   29.54,   30.75,   32.03,   33.21,   33.79,   35.96,   37.47,   37.42,   35.14,   33.22
-6.74999,-38.20999,T2M_MAX,2001,   35.73,   34.46,   32.33,   31.58,   35.17,   33.37,   33.75,   34.63,   36.93,   37.25,   38.18,   36.94,   35.03
-6.74999,-38.20999,T2M_MAX,2002,   29.88,   30.64,   30.71,   30.50,   31.43,   32.24,   34.23,   35.38,   36.89,   37.83,   38.03,   37.29,   33.77
-6.74999,-38.20999,T2M_MAX,2003,   35.03,   32.13,   30.64,   31.11,   31.53,   33.70,   34.47,   35.82,   37.09,   38.08,   38.22,   37.75,   34.65
-6.74999,-38.20999,T2M_MAX,2004,   31.92,   28.92,   30.07,   31.06,   31.71,   31.14,   32.83,   35.26,   36.95,   38.05,   38.15,   37.47,   33.65
-6.74999,-38.20999,T2M_MAX,2005,   35.27,   34.97,   33.12,   30.53,   31.04,   31.66,   33.20,   34.78,   36.84,   38.01,   37.83,   34.74,   34.33
-6.74999,-38.20999,T2M_MAX,2006,   37.04,   33.20,   30.47,   28.95,   28.48,   28.53,   31.18,   34.36,   35.24,   37.16,   37.66,   37.35,   33.31
-6.74999,-38.20999,T2M_MAX,2007,   36.64,   31.80,   30.51,   31.78,   32.02,   32.31,   33.93,   35.10,   36.40,   37.81,   38.04,   36.57,   34.43
-6.74999,-38.20999,T2M_MAX,2008,   34.14,   32.86,   29.73,   28.60,   28.60,   28.32,   30.19,   32.96,   36.69,   37.87,   38.02,   36.46,   32.87
-6.74999,-38.20999,T2M_MAX,2009,   34.69,   30.82,   31.03,   28.97,   28.00,   27.99,   29.15,   32.17,   36.04,   37.49,   37.66,   36.24,   32.53
-6.74999,-38.20999,T2M_MAX,2010,   32.74,   34.63,   36.11,   32.28,   33.95,   32.61,   33.90,   34.94,   35.97,   36.60,   37.14,   33.73,   34.55
-6.74999,-38.20999,T2M_MAX,2011,   31.85,   29.22,   29.66,   29.36,   28.52,   30.01,   31.49,   34.81,   36.71,   36.20,   36.64,   37.10,   32.65
-6.74999,-38.20999,T2M_MAX,2012,   35.47,   33.86,   34.76,   35.42,   36.09,   34.95,   34.55,   35.12,   37.00,   37.86,   37.96,   37.37,   35.87
-6.74999,-38.20999,T2M_MAX,2013,   36.26,   36.76,   35.58,   33.62,   32.65,   33.09,   33.21,   35.40,   37.28,   37.56,   35.67,   35.85,   35.23
-6.74999,-38.20999,T2M_MAX,2014,   36.41,   34.90,   31.89,   29.62,   30.92,   32.98,   33.75,   35.18,   36.54,   36.77,   36.81,   36.73,   34.38
